,nes,nes_err,ban,ban_err,veg,veg_err,grd,grd_err,frt,frt_err,mlt,mlt_err,brl,brl_err,rt3,rt3_err,rt2,rt2_err,olp,olp_err,tob,tob_err,rt1,rt1_err,cc2,cc2_err,olv,olv_err,srg,srg_err,rsd,rsd_err,oce,oce_err,cot,cot_err,sfl,sfl_err,whe,whe_err,pls,pls_err,mze,mze_err,sub,sub_err,suc,suc_err,fdd,fdd_err,soy,soy_err,rcw,rcw_err,bvmeat,bvmeat_err,bvmilk,bvmilk_err,sgmeat,sgmeat_err,chickens,chickens_err,ducks,ducks_err,pigs,pigs_err,crop,crop_err,past,past_err,gh_all,gh_all_err
RWA,0.0001503127680331526,2.7886158900467856e-12,2.1879194620690618e-05,7.915804867346321e-15,0.00014129407024390922,2.277051998672842e-12,1.6373840523021854e-05,1.2358028616848692e-14,0.0001534143874915727,2.3365932643895617e-12,5.4865499781864024e-05,1.3762441055307638e-14,,,2.8114646450543143e-05,7.864687744434602e-14,1.831017104700284e-05,5.616944946037257e-14,,,9.812320568970135e-05,3.9588378911367033e-13,0.00021703360481394187,2.351707397258963e-12,0.00011936986619229351,8.549448607339872e-13,,,0.0001357504391936556,8.289874473389586e-13,,,2.3563411557805154e-05,4.307558896822264e-15,2.7428556367611872e-05,4.866602271214808e-15,6.346728565219758e-05,1.9355682833050782e-14,0.0003353793219830651,1.7837661858334609e-12,0.0001597085269132063,9.180125616807543e-13,0.00017240782872399984,9.139287666391672e-13,,,2.8946209959875803e-05,5.222501675561011e-14,,,1.9957272845720666e-05,7.502326656621198e-14,1.8524916743736778e-05,4.8640354006059816e-14,8.999029971185017e-05,5.006906794287217e-13,8.999029971185017e-05,5.006906794287217e-13,0.0001535094488408495,6.169766601422021e-13,4.4051276852367924e-05,6.549223237043243e-13,8.298675143300413e-05,7.336060261811802e-13,0.00014029851734951012,5.776183707088105e-13,7.081580179681687e-05,2.5302536612885214e-14,3.892132272998736e-05,2.7907284738745778e-14,8.751515831122183e-05,4.833272395614644e-13
RUS,1.1026979738743275e-06,5.384649393935426e-12,,,2.110601663081975e-06,1.3695502504502125e-12,,,2.262029135953256e-06,1.0955494634027065e-12,2.1822312795559968e-06,5.559833672236817e-13,1.6226009192398255e-06,7.074093622617736e-13,,,,,,,2.006194271468885e-06,7.476821668388594e-18,1.8315682402276697e-06,7.29271662236768e-13,,,,,,,1.5552457342805617e-06,1.6025167439050995e-12,2.07454392105609e-06,8.082636667018384e-13,,,2.8705483701180694e-06,8.941411149016909e-13,1.8710418503597725e-06,6.226088994975453e-13,2.012657219307343e-06,7.766892273801067e-13,1.715047116120041e-06,9.22727287084253e-13,3.1807886138057246e-06,1.54598062024623e-12,,,1.932096603265675e-06,7.324553913137335e-13,1.9626143881520193e-06,7.998484857885851e-13,2.9893067059041924e-06,6.8530194961536866e-15,1.9130457488695827e-06,1.684232682776014e-12,1.9130457488695827e-06,1.684232682776014e-12,1.712416485653742e-06,3.903116847083564e-12,2.0639519560364976e-06,2.640368230905064e-12,2.3284661994899786e-06,2.9464736182953705e-12,2.0177443899784642e-06,3.2760099511149884e-12,9.435684841738706e-07,4.922123010564645e-17,5.358297680494825e-07,4.837102023711321e-17,1.0471440396370612e-06,2.1968577957617838e-12
ROU,4.385703491429024e-06,3.3400866319291335e-12,,,4.620963922901357e-06,3.180439171187559e-12,,,4.3447955464935805e-06,3.404028319391055e-12,2.721638217200699e-06,8.077584787880492e-17,4.2251142325708786e-06,3.5122129486007054e-12,,,,,,,4.068427182900048e-06,1.0784255553533861e-16,4.024994339857823e-06,2.7383866344574194e-12,,,,,,,4.81930216206261e-06,3.3018370771256626e-12,4.17540788819865e-06,2.736877711857367e-12,,,4.462062872262401e-06,9.058676125064922e-14,4.0067966853007035e-06,2.6887111315859846e-12,4.244982686987072e-06,2.45130253326526e-12,4.207489097511543e-06,5.191713210789795e-14,4.019995308972226e-06,4.0898966172648554e-12,,,4.490244862931755e-06,3.09495567905272e-12,4.702214694791115e-06,6.374453694441111e-15,6.017548137276733e-06,8.286531658965008e-16,5.6354845427711665e-06,3.9996050333083785e-13,5.6354845427711665e-06,3.9996050333083785e-13,3.743312430393546e-06,4.2852123606255617e-13,3.0871759633772016e-06,4.887376883341744e-13,3.0540844159947627e-06,4.807958243307376e-13,3.4933788783860125e-06,4.651091214375021e-13,2.3376266651053357e-06,4.070388096772433e-17,1.6061308144260903e-06,4.0331482337191304e-17,2.935721694107607e-06,4.041503239474292e-13
QAT,5.631567190723844e-08,2.0217313440905392e-20,,,1.0381852161228501e-07,2.9159108669721883e-16,,,8.918524014201611e-08,2.806066825686547e-16,,,1.0041162671486292e-07,3.4773043293855297e-16,,,,,,,,,6.98497918368286e-08,1.860184578163702e-20,,,,,6.862731808238232e-08,1.8726707599313192e-20,,,,,,,,,,,6.532077932140662e-08,1.908650953034113e-20,7.922076523153904e-08,1.925125344385494e-18,,,,,1.0298897336538437e-07,2.797701945702771e-16,,,,,3.2743784521811113e-07,1.8973992389346673e-18,3.2743784521811113e-07,1.8973992389346673e-18,4.339192639612611e-07,2.2173141845819712e-18,6.207778337093276e-08,1.4805496914846176e-18,4.612657674768917e-07,2.2285105177286516e-18,,,4.105080984587699e-09,1.4459454912946396e-22,1.7663354353924967e-09,1.419065764385493e-22,3.109665353398471e-08,1.961913485756425e-17
PRT,1.8419844217383477e-05,1.149264396310776e-13,1.9354868711307575e-05,1.4777229962223715e-14,1.5267255602725432e-05,5.6442679179914746e-11,,,1.7996050662886438e-05,4.7032743421110035e-11,,,2.257143978726418e-05,7.83552840185629e-11,,,,,,,3.159302704409958e-05,3.3229365536493966e-14,1.704760001587974e-05,5.3371015904573385e-11,,,1.9779525693145588e-05,7.999739137489963e-14,,,,,1.8136824280641573e-05,5.191487722712461e-11,2.210399533577699e-05,2.4663697902253406e-14,2.3565243220631287e-05,1.4332505704787503e-13,2.226689938973949e-05,6.510129897772215e-11,1.7271988659850606e-05,4.901808460158962e-11,1.5656474408583022e-05,5.339963318329925e-11,2.6753903920699345e-05,2.7903088939644955e-14,,,1.9441969421206774e-05,4.385938406125606e-11,,,1.8031864342231144e-05,1.0098524983845557e-13,1.0425518609396781e-05,5.2936872149743515e-11,1.0425518609396781e-05,5.2936872149743515e-11,1.291886855997889e-05,3.7713196528501715e-11,1.3774309858994005e-05,9.174059773220213e-11,1.4641741473505329e-05,4.144584723531934e-11,1.2157544950189e-05,8.268740005117054e-11,4.6257416093857685e-06,1.294907835149577e-16,4.862275419613108e-06,1.3153706452990852e-16,9.42221757998179e-06,3.3790553593836487e-11
POL,3.0494690018797258e-06,1.3440877107185753e-13,,,3.115022148592977e-06,2.3455650506216906e-13,,,2.984836171650573e-06,2.754076171105223e-13,,,3.0759610072291203e-06,1.3311389077442444e-13,,,,,,,3.5563175971261384e-06,1.887409742454965e-14,3.104514320218251e-06,2.348075262077618e-13,,,,,,,3.035705761593598e-06,1.4810891090651116e-13,3.0954440391572028e-06,1.3021775847137684e-13,,,3.05720381198211e-06,3.006709302516465e-15,3.063641935868057e-06,1.3247621604660457e-13,3.09273968212497e-06,1.3006373878069606e-13,3.2219117489142055e-06,3.1237165096707516e-13,3.06607122804961e-06,2.8814263632328043e-13,,,3.160367760347579e-06,2.487332912851804e-13,2.8464123142667726e-06,2.1831912751026424e-16,,,3.887260164396356e-06,4.5092556506011747e-13,3.887260164396356e-06,4.5092556506011747e-13,5.97837238762116e-06,6.334873757797296e-13,2.8593996911345723e-06,6.371526393255185e-13,4.570174612167441e-06,4.789604530375716e-13,3.7424771652167907e-06,5.569906353553524e-13,1.2151824396707349e-06,1.4364275866536394e-17,1.2057072829582152e-06,1.4449817042851856e-17,2.3933578030800613e-06,3.735949953296054e-13
PHL,0.00010286601759511745,3.4715377848876327e-12,9.163600614309568e-05,3.427146606200662e-12,9.659429710650084e-05,3.961583115294886e-12,8.218892540358274e-05,5.135064330761493e-12,9.406132704981488e-05,3.4779237808122346e-12,,,,,0.00010350026063689016,3.1518174722886938e-12,9.176966921049624e-05,3.1707358170339384e-12,8.45029806905005e-05,2.3966238092538647e-12,9.747068057118449e-05,4.781272830104842e-12,9.636757325774824e-05,3.5720513516026797e-12,9.130278647071601e-05,3.800750459251283e-12,,,,,,,,,,,,,,,9.767044716209378e-05,3.684272454375034e-12,0.000116332982021806,4.023922963014406e-12,,,0.00011430097073699353,5.429043258141363e-12,0.00010058293626697594,3.775084907177199e-12,,,8.388031824041749e-05,3.805180928895432e-12,8.031162073757665e-05,2.8478857377627795e-12,8.031162073757665e-05,2.8478857377627795e-12,9.100229407247481e-05,5.392818883165024e-12,8.107488623602495e-05,4.0691309054446896e-12,6.646287238317208e-05,6.873435993214362e-12,8.976610163625904e-05,3.4084458484511246e-12,3.6062163829537686e-05,3.1850239295806115e-14,2.8878900553077013e-05,2.7377804915275304e-14,8.631400192078001e-05,1.144204100788088e-09
PER,0.00021148874862228934,1.1955440824193202e-08,,,0.00031636082963219005,3.9140346920129126e-09,,,0.00021374813588150216,1.0833952633409388e-08,,,0.0004569679754159318,5.722381892480776e-09,5.2134239063013965e-05,2.993286270961155e-11,8.54725327526875e-05,2.8514575721482616e-11,2.2678174624662202e-05,3.009590955389408e-13,0.0001477091297452489,9.963727035497614e-11,0.0005554116195597402,3.742358897072918e-09,0.0001506933977177576,2.856495520528786e-10,,,,,,,0.00011842271629751737,6.088341373468589e-10,4.2715262976300174e-05,5.491638590243354e-11,,,0.0006186017352881656,3.978225555022523e-09,0.000262413562770706,4.0013561011873507e-10,0.00012716062126255908,4.5760987540548047e-10,,,5.1700417536446745e-05,2.758184413420228e-11,0.00019216787860668386,8.667932115103655e-09,,,5.120246591084376e-05,2.8433883995222016e-11,0.00012266672246899986,2.7907663418272913e-11,0.00012266672246899986,2.7907663418272913e-11,5.851221113422614e-05,3.2069423863323806e-11,4.760522749039803e-05,1.1267599185115039e-10,9.82335190084369e-05,2.3793454002538465e-11,0.00013289679301840176,7.411747301701533e-11,2.4549230834774948e-05,4.768178253575203e-14,1.9285194814476196e-05,3.79261152367777e-14,4.465981762823992e-05,2.105456012502647e-11
PRY,8.035522187371051e-05,9.620278451289735e-11,8.361409884953148e-05,3.280848199029288e-11,9.527002715538233e-05,2.454308272696809e-10,9.794955919474423e-05,1.7681051546086924e-10,5.2734375170837167e-05,1.2891391919762802e-10,,,,,,,8.435627797463156e-05,1.0792177638916032e-10,9.120958900163334e-06,5.743816862311027e-12,0.00011198850983532019,4.8534048331807046e-11,0.00010512300639144909,1.0246283269628111e-10,0.00010027425315509018,1.818559518913891e-10,,,9.79594622706844e-05,1.8584142204015066e-10,0.00010904858078406901,1.0437483191913793e-10,,,0.0001014679182878209,1.6618438868500097e-11,9.796388640156295e-05,1.7680268122969595e-10,0.00013478304547071045,8.071225329464024e-12,9.87337049272874e-05,9.772134089149686e-11,0.00011121123739030021,8.878118444529578e-11,,,0.00011248646673817497,2.458749334839072e-11,7.222212387958735e-05,1.1047521026633518e-10,0.00012789492345286095,1.2428726209339448e-11,0.0001088948095329703,9.48628904002642e-11,2.346318883762769e-05,4.08097234305674e-12,2.346318883762769e-05,4.08097234305674e-12,3.486922289209787e-05,4.186185116938468e-12,3.7195386897715877e-05,1.9375429890699644e-11,4.871343035327632e-05,6.32582255570944e-12,5.326123015590471e-05,7.147886353782323e-12,2.63658530005824e-05,7.799455154326135e-15,1.2865414851798616e-05,6.0366258632564285e-15,2.076601903233189e-05,3.830987467524504e-12
PNG,3.159752410071551e-05,8.382680146876938e-09,3.368033604701047e-05,8.665464007346567e-09,3.1431514061188756e-05,1.226674825869103e-08,,,3.6984230103337565e-05,7.773088487403379e-09,,,,,3.985529959999278e-05,7.376460577506587e-09,3.458679305081301e-05,7.680199018865661e-09,3.058988594324409e-05,2.567716576891703e-09,,,3.342021554942416e-05,8.325828926450046e-09,3.632208581351557e-05,7.677067274543482e-09,,,,,,,,,,,,,,,,,3.502045462909101e-05,8.75908669604281e-09,,,3.31459569599921e-05,8.663236144917719e-09,,,,,,,0.0007229568364486053,4.243703109195077e-06,0.0007229568364486053,4.243703109195077e-06,0.0026871466980416606,2.1106815514817246e-06,0.0028553321067377145,2.0632520500443406e-06,0.002898249310305922,2.1763759682194515e-06,0.0031328133893632646,2.07452490473171e-06,1.7585853548199895e-06,2.4814372521834733e-16,1.409476689713992e-06,1.537320918245643e-16,3.0296549782050542e-05,4.2373824493495235e-06
PAN,0.0004548344343873565,4.4248696492450443e-10,0.00047547657461803757,2.0602968877722186e-09,0.00048627422018749137,1.9451057774140733e-09,,,0.000714388343848166,1.8327236782950787e-09,,,,,0.0005912871486838988,1.8253398211519105e-09,0.0004245413772874801,4.5343312528326554e-10,0.00039118387267795824,4.989633668050995e-10,0.00018315715334478919,3.134808633079024e-10,0.0004216364420200643,4.5647951319206636e-10,0.00038659207395476,4.967342367249211e-10,,,0.00043861303380945054,1.7777103573188295e-10,,,,,,,,,,,0.00043304094073858527,4.495751144470361e-10,0.0005123164970076708,5.18612324513369e-10,,,0.0007567707607558994,3.3296417167464603e-09,,,,,0.0006037711386687312,1.9652350936116202e-09,0.0003672012910696876,3.1758055109537244e-09,0.0003672012910696876,3.1758055109537244e-09,0.00016960183814556507,3.277760061993885e-09,0.00014854740675148797,1.1425121252296169e-08,0.00014871173721889595,1.122881332406156e-08,0.0002087424490724092,6.758799253052092e-09,0.00010105381128955036,6.683064797607054e-14,8.029828187841178e-05,5.9603579462308e-14,0.00016054348084569044,2.9105796582940655e-08
PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,2.0435647036056675e-05,1.5000707277217196e-10,4.729852336482453e-06,4.7251350139075064e-14,2.0924202073929155e-05,1.0295906916242876e-10,1.0899153960440832e-05,7.160826378431171e-10,2.1154054907272926e-05,1.2287251404079735e-10,1.1714747183255048e-05,3.444378313536719e-10,,,2.1180424911140836e-05,1.0691990606777356e-10,,,,,1.765758781061561e-05,1.2682659730841396e-10,1.9880984435701582e-05,1.0306314801447338e-10,,,,,1.9271039224487294e-05,1.1984870386560262e-10,1.7000339554116253e-05,1.353042342026212e-10,,,2.1811475029425428e-05,1.0968088183545759e-10,1.7723216994282395e-05,1.0647799284903988e-10,1.951245177352769e-05,1.0426447093067929e-10,2.1957999726814174e-05,1.1622954658638695e-10,1.93090778948708e-05,1.7248302395934689e-10,,,2.2479980450606034e-05,1.0845360590451504e-10,,,,,2.0414093376996556e-05,1.0372817557494065e-10,0.0005367691044268192,3.171021710307902e-08,0.0005367691044268192,3.171021710307902e-08,0.0007495030397654175,3.121667463637501e-08,0.0003359688570917102,3.73779450424879e-08,0.00037858652962724954,3.6609434496450656e-08,1.9548491534082598e-05,2.6165020185230766e-16,1.3564686224042126e-05,2.652757572880796e-14,2.390839301717169e-06,1.9105451797586867e-14,1.6568090020965025e-05,2.827632218062988e-08
OMN,1.7612505132436443e-07,2.6899046050897166e-20,8.345250885094097e-07,8.063799865918319e-16,5.434556207999192e-06,1.6579338777475244e-14,,,4.781922722457124e-06,1.7371210037539567e-14,,,5.524992534212523e-07,1.0213265242080355e-16,,,,,,,7.311705644784692e-06,2.0100462339982926e-14,6.03456833329527e-06,1.825633100228425e-14,,,,,6.900937356765875e-06,1.862689018518462e-14,,,6.1053350999370244e-06,1.559019029096446e-14,,,,,9.717739125852865e-06,2.3250474401030358e-14,1.7612505132436443e-07,2.6899046050897166e-20,,,,,,,4.17805248127529e-06,1.6157513615744746e-14,,,,,7.41976203827536e-07,1.3300526053170926e-15,7.41976203827536e-07,1.3300526053170926e-15,7.98455034805279e-07,1.2127864656373298e-15,8.328103865754504e-07,1.499393396301661e-15,,,,,4.006470786189999e-07,7.10153773396068e-19,6.526815148436948e-08,4.487578745958498e-19,2.8559758003965424e-07,9.450509749410282e-16
PRK,1.0442223511564438e-06,5.652094844864271e-13,,,3.512427595842294e-06,1.211348309715459e-13,5.495936492012606e-06,1.157085899127821e-16,4.110897794473996e-06,8.90505587483665e-14,6.274639288563468e-06,4.5153956200753386e-15,4.962947814491069e-06,1.315650087813404e-13,,,,,,,5.640145939617831e-06,6.384811570263032e-14,3.845766090066739e-06,9.762867290298432e-14,,,,,6.261485560392839e-06,4.552538953615358e-15,7.173224170591343e-06,4.4619368507440366e-17,3.965501994658322e-06,5.049885439762947e-14,4.764068954152989e-06,5.01820466833257e-16,,,3.6515415539922974e-06,1.1820190643592995e-13,3.8838600545012355e-06,1.0078117764686469e-13,4.377038683303412e-06,6.649183037412068e-14,,,,,7.173224170591343e-06,4.4619368507440366e-17,5.462213751982773e-06,6.282777667824552e-14,4.028468319792081e-06,2.389827024287213e-15,7.068148091222956e-06,6.21541895525064e-14,7.068148091222956e-06,6.21541895525064e-14,4.7307794499125585e-06,6.242810339844586e-14,7.160322160601552e-06,9.579091306397962e-14,4.879670347499966e-06,8.248511340205099e-14,6.275727968148338e-06,7.188008963124963e-14,1.2777839925388826e-06,1.3526905014893089e-17,5.648905528521009e-07,2.7126242581807274e-18,4.158515146339633e-06,6.740663081998664e-14
NGA,2.6299619454109945e-05,3.1810793845894996e-12,2.974137906895964e-05,8.605666020134723e-16,2.9993897424060468e-05,3.2356982717122877e-12,2.175835161759648e-05,3.064414750332993e-12,3.4325898348303e-05,4.199952461117768e-12,1.7445461100698652e-05,3.08840198809168e-12,,,3.1334816563270656e-05,3.0520607019864825e-12,3.097835118513283e-05,3.0660022019127115e-12,3.430727722768188e-05,6.147757658684351e-13,1.3067304111488986e-05,2.2561057112279625e-13,2.973029399298666e-05,3.1262777247110908e-12,3.0297090692358857e-05,8.526549970226468e-13,,,2.1218264054321803e-05,2.781068945906227e-12,,,,,2.360999864779093e-05,3.2887747058703237e-12,,,,,2.5132226423459503e-05,2.9629716995710406e-12,2.823018314433419e-05,2.888653714892762e-12,,,2.4475241064315582e-05,6.21131636519875e-12,,,3.259865949264848e-05,3.933927363521749e-12,3.0705597181145814e-05,3.7918785435014286e-12,1.6412466308709495e-05,6.903504952224147e-13,1.6412466308709495e-05,6.903504952224147e-13,1.3829917418229703e-05,9.237410402323565e-13,1.7050316786411184e-05,8.731956202472107e-13,1.496580417559697e-05,8.087250803011884e-13,2.7659464275130318e-05,1.0983337048853373e-12,1.2625227445677106e-05,4.0352283708678393e-14,1.1653458938123329e-05,4.002790448179017e-14,1.5038297985709513e-05,5.928910693669884e-13
NER,5.465280910818747e-06,2.531160115678977e-15,,,7.947916965527603e-06,5.707961737323597e-15,6.72966792950534e-06,3.474068440154807e-15,5.536144784962713e-06,8.02081960890833e-16,3.97883396987485e-06,2.170380982518585e-15,,,9.317432486723528e-06,9.18531712145317e-16,9.481335890982291e-06,8.629778086102578e-15,,,6.644890343256748e-06,1.2476617819726707e-15,7.856400185607089e-06,6.752043051204757e-15,,,,,4.562747018691998e-06,2.448708276847759e-15,,,,,3.4059941338656544e-06,7.986262594779672e-16,,,,,5.948299570499046e-06,1.888683218897597e-15,8.495806657639052e-06,9.927226685698025e-16,,,7.75386073449145e-06,2.3359790354550938e-15,,,1.3219052017609661e-05,7.330794942888329e-16,1.947707477010144e-05,4.478498203053529e-15,4.056004754247103e-06,1.1034763231088736e-15,4.056004754247103e-06,1.1034763231088736e-15,4.0586713489385045e-06,1.135549380004985e-15,4.268818713718892e-06,1.0912265261550383e-15,4.071353841770943e-06,1.2826534788788263e-15,2.486486752918727e-06,1.3073756242135117e-15,3.120004036762712e-06,8.18467030393776e-17,3.8437176825671536e-07,4.708674709669103e-17,1.8698138704444047e-06,7.766393647733064e-16
NIC,0.0004188324346974988,3.8433393521693756e-11,0.0004097471257142357,1.6835606101319104e-11,0.000393998560252951,5.57177232967291e-11,0.0005135775397503091,4.693213459762494e-11,0.00037603780560048407,5.6406950252357624e-11,,,,,0.0004531172981634975,3.911862171537991e-11,0.00042192863783581603,3.723444109346055e-11,0.0005249562839843968,4.846350654083656e-11,0.0005145078239900683,2.9070825298812237e-11,0.0004312739065696526,3.886076605137619e-11,0.00032244047716925247,4.479421665926366e-11,,,0.0003704203275269573,2.1819201144662935e-11,,,,,0.00047707879565225716,2.5945179113519612e-11,,,,,0.00040850959749230627,3.9693010935321895e-11,0.0004413282866127739,4.930073041441891e-11,,,0.0003417192340140034,5.65383685848315e-11,,,0.000513800629862045,4.8387155746602706e-11,0.000542889935367423,1.0316501001808304e-10,0.0001729298794759625,6.4475963304661836e-12,0.0001729298794759625,6.4475963304661836e-12,0.00016262556633194768,6.951536000647817e-12,9.572751098061874e-05,2.4321978803039076e-11,,,0.00016540285549475136,7.052351685717459e-12,9.749350433609152e-05,8.963142296055448e-14,8.160574491407959e-05,8.985086237403575e-14,0.00014350812013505488,2.9678889545379455e-11
NZL,5.595446285104308e-05,3.5835500021256595e-09,,,5.883512718505262e-05,6.1368223939282125e-09,,,5.541424353107429e-05,3.783926975973662e-09,,,5.6701051869578434e-05,3.5679776019744826e-09,,,,,,,,,5.7294973401306415e-05,3.826351169765376e-09,,,,,,,,,5.656883604322563e-05,3.762728115703389e-09,,,,,5.899735282453628e-05,3.599827807248508e-09,6.946031169900882e-05,3.7365813795269295e-09,6.5579474563741e-05,3.0016275134718656e-09,,,,,5.594246525120041e-05,3.54054434719982e-09,,,,,0.0005314688259194173,1.3215956997133444e-07,0.0005314688259194173,1.3215956997133444e-07,0.00023472265278681381,1.2506455884783877e-07,0.0006979556903618538,1.0522332404491023e-07,0.0009371311651632786,9.702701115003537e-08,0.0002541957765896951,1.696370200733282e-07,5.548182170494836e-06,1.116996533852191e-15,4.261467695810062e-06,7.969868285899842e-16,8.279893898214333e-06,1.3606320086986695e-07
NIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,1.2411530144669672e-06,9.784292196697932e-16,,,1.6919630873373653e-06,1.977770252892254e-15,,,1.8207717553764574e-06,2.1206423210662043e-15,,,1.4889009789464064e-06,1.0334704179260866e-15,,,,,,,,,1.498779426514159e-06,1.8799500965956973e-15,,,,,,,,,,,,,,,1.1279696120024398e-06,1.0275693511224889e-15,1.3479602728017238e-06,9.896042171268733e-16,1.9424264312389095e-06,2.4944513914107e-15,1.6166758162310071e-06,1.8923117327913183e-15,,,1.4844706540945185e-06,1.839586347968428e-15,,,,,1.279433686116433e-06,6.051231763233219e-16,1.279433686116433e-06,6.051231763233219e-16,9.755967501382789e-07,6.145343089718494e-16,1.1953587180186773e-06,8.457531815042578e-16,2.2973871158642673e-06,1.3512030876893405e-16,1.3628584998627607e-06,1.0339110833008858e-15,5.01661838271978e-07,1.0970444434140268e-18,4.5079608244304616e-07,1.0696135603629353e-18,8.80247062996812e-07,5.277363143307601e-16
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.900049624528388e-10,1.8623288594905e-25,,,4.602137533486372e-09,3.594261517585898e-22
NPL,0.00011122413011696426,1.0139697480609014e-11,,,0.0001134969354383544,5.774927097555468e-12,,,0.00011133471089996018,8.854107706402824e-12,0.00011736114661862836,1.1061192512339157e-12,0.00028427376982669483,1.2068988950110381e-11,8.092611135040376e-05,1.912146430382938e-12,8.388971279978497e-05,6.102559580737045e-15,,,0.00010842196624276829,2.234745743448609e-12,0.0001451383902772259,6.203707477416254e-12,0.00014313196081936028,1.137954593712564e-12,,,,,,,,,8.388971279978497e-05,6.102559580737045e-15,,,9.821338055612358e-05,7.40427446747618e-12,0.00011770760965139435,4.757565503274698e-12,9.537134088727074e-05,5.51143501348769e-12,,,7.810195166352997e-05,1.8067203975021713e-12,8.388971279978497e-05,6.102559580737045e-15,0.00011997714209494626,4.982509844120945e-12,8.196438542132436e-05,2.223126881089895e-12,8.35137403073981e-05,2.8789738345864005e-12,8.35137403073981e-05,2.8789738345864005e-12,9.219180378493565e-05,3.305803142788256e-12,0.00010429993877593822,5.437990641453924e-12,5.770816221201811e-05,4.98970581462469e-12,9.811701398400407e-05,3.6555701386058016e-12,2.5235318552793696e-05,9.44241141670058e-15,1.7533226508347526e-05,1.0073406698202044e-14,5.901516334750415e-05,1.5548500192021976e-11
NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
NAM,2.911629202258465e-06,8.124210121737266e-15,,,3.859868204285872e-06,1.3362125816397055e-10,1.7151618840021183e-06,1.332557782717661e-10,9.497013538380006e-06,3.106082133656885e-11,7.597663224364967e-06,2.2957179571770802e-11,3.680184058303339e-05,6.525173712120649e-14,6.606790783124415e-06,3.4218645968816744e-11,5.006599280457827e-07,2.1622840036998396e-16,,,1.2018475509657158e-06,2.243100707619651e-14,2.3888121955451657e-05,2.5055954763065447e-12,2.9493083802392578e-06,2.5527931790410263e-16,,,5.861847867196916e-06,3.3830536831683694e-11,,,4.826092490015036e-06,3.1740745701415375e-14,3.959601945817129e-06,5.005561764176166e-15,2.9398578899372797e-06,5.07408709576415e-15,2.0770858820461832e-05,2.8081041355374765e-12,6.101974001428899e-06,4.753441863782481e-11,6.294213857558552e-06,4.266440253480142e-11,,,6.316761039507469e-06,2.4368014439375786e-14,5.3389120242157726e-06,2.9243331617846675e-14,6.91689016804272e-07,6.743759911760463e-16,8.819191264496673e-07,3.2304803311778513e-16,1.858081181093544e-06,4.470686943305152e-16,1.858081181093544e-06,4.470686943305152e-16,1.9196804506819522e-07,3.471016654392178e-16,1.1233039353300651e-06,3.650586808826972e-16,1.0963947177206669e-06,1.5187978495834354e-16,1.3337439184484954e-06,4.417036683400916e-16,2.77617240873317e-07,4.516996177958018e-18,3.021822953680324e-07,1.6112455312007406e-17,4.055592255036683e-07,1.2989319637878762e-15
MOZ,3.240054721868062e-05,6.346821332670053e-11,3.824409557175759e-05,6.111173360058093e-11,4.809110563590241e-05,2.813842141148694e-09,4.1774418356872315e-05,9.813461086296929e-11,3.167353455969598e-05,9.852382556619314e-10,3.9489018752403975e-05,6.214041592011177e-11,0.0001121900480197082,1.450316213050902e-11,2.1377581663614662e-05,6.453842223984959e-12,3.254626154572424e-05,4.1065693226579906e-11,7.0883595963835485e-06,3.357481115034153e-14,4.342953290550042e-05,1.4930483889775216e-09,3.351127363156839e-05,6.498425090802525e-11,3.864481074086609e-05,6.057297234528366e-11,,,2.806712636381667e-05,8.541104786651736e-11,0.00020779773864782302,4.383957579184957e-10,7.781592386412473e-05,1.89710129590789e-10,2.97741551712024e-05,6.163512419623632e-11,5.05345815161448e-05,9.380809983449309e-11,4.4321555311155374e-05,9.731462090764752e-11,3.233824207742032e-05,4.205251710173865e-11,4.4283632980414966e-05,1.2706315311265482e-09,,,5.088351920987638e-05,3.881027822513243e-09,0.00033568342962108716,3.8357305916282274e-10,8.459585663104049e-05,2.7012862545684053e-10,2.427646828274354e-05,1.9704551835421801e-10,1.1527411736422742e-05,1.229323434466137e-13,1.1527411736422742e-05,1.229323434466137e-13,1.0646677938613668e-05,1.3349440193442945e-13,8.290784690136025e-06,6.144869167682262e-14,7.114260034268788e-06,1.79301674761957e-13,6.957456300624289e-06,6.477146621439442e-14,7.096517268576591e-06,1.812568411845532e-15,3.305778650115368e-06,1.1562831408207074e-15,5.415999116293542e-06,6.029271102453134e-13
